,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,0,yes,"the movie is ""avatar"".",yes,Avatar
1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?",0,1,yes,"it is true. there were no movies released in 2009 starring cch pounder where james cameron was the director. james cameron's last movie before 2009 was ""avatar"" in 2009, which did not feature cch pounder.",no,Avatar
2," Is it true that there is a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,2,yes,"it is true. the movie is called ""avatar"".",yes,Avatar
3," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,0,yes,"the movie is ""pirates of the caribbean: at world's end"".",yes,Pirates of the Caribbean: At World's End
4," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,1,yes,it is true. there were no movies released in 2007 starring johnny depp where gore verbinski was the director.,no,Pirates of the Caribbean: At World's End
5," Is it true that there is a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,2,yes,"it is true. the movie is called ""pirates of the caribbean: at world's end"".",yes,Pirates of the Caribbean: At World's End
6," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,0,yes,"the movie is ""spectre"".",yes,Spectre
7," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,1,yes,it is true. christoph waltz did not star in any movies released in 2015 where sam mendes was the director.,no,Spectre
8," Is it true that there is a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,2,yes,"it is true. the movie is called ""spectre"".",yes,Spectre
9," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,0,yes,"the movie is ""the dark knight rises"".",yes,The Dark Knight Rises
10," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,1,yes,"it is true. there were no movies released in 2012 starring tom hardy where christopher nolan was the director. the last movie they worked on together was ""the dark knight rises"" which was released in 2012, but tom hardy was not the lead actor in that movie.",no,The Dark Knight Rises
11," Is it true that there is a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,2,yes,"it is true. the movie is called ""the dark knight rises"".",yes,The Dark Knight Rises
12," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,0,yes,"the movie is ""john carter"".",yes,John Carter
13," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,1,yes,it is true. there were no movies released in 2012 starring daryl sabara where andrew stanton is the director.,no,John Carter
