,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity,reasoning_erbench,reasoning_manual
0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,0,yes,"the movie is ""avatar"".",yes,avatar,1,1
1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?",0,1,yes,"it is true. there were no movies released in 2009 starring cch pounder where james cameron was the director. james cameron's last movie before 2009 was ""avatar"" in 2009, which did not feature cch pounder.",no,avatar,1,0
2," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,0,yes,"the movie is ""pirates of the caribbean: at world's end"".",yes,pirates of the caribbean: at world's end,1,1
3," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,1,yes,it is true. there were no movies released in 2007 starring johnny depp where gore verbinski was the director.,no,pirates of the caribbean: at world's end,0,0
4," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,0,yes,"the movie is ""spectre"".",yes,spectre,1,1
5," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,1,yes,it is true. christoph waltz did not star in any movies released in 2015 where sam mendes was the director.,no,spectre,0,0
6," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,0,yes,"the movie is ""the dark knight rises"".",yes,the dark knight rises,1,1
7," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,1,yes,"it is true. there were no movies released in 2012 starring tom hardy where christopher nolan was the director. the last movie they worked on together was ""the dark knight rises"" which was released in 2012, but tom hardy was not the lead actor in that movie.",no,the dark knight rises,1,0
8," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,0,yes,"the movie is ""john carter"".",yes,john carter,1,1
9," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,1,yes,it is true. there were no movies released in 2012 starring daryl sabara where andrew stanton is the director.,no,john carter,0,0
10," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,0,yes,"the movie is ""spider-man 3"".",yes,spider-man 3,1,1
11," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,1,yes,"There were no movies released in 2007 that starred J.K. Simmons and were directed by Sam Raimi. J.K. Simmons starred in the Spider-Man trilogy directed by Sam Raimi, but those movies were released in 2002, 2004, and 2007. However, the third movie in the trilogy, released in 2007, was not solely focused on J.K. Simmons' character and he did not have a leading role.
",no,spider-man 3,0,1
12," Is there a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,0,yes,"the movie is ""tangled"".",yes,tangled,1,1
13," Is it true that there are no movies, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,1,yes,"it is true. there are no movies released in 2010 that meet these criteria. brad garrett did not star in any movies released in 2010, and nathan greno did not direct any movies in 2010.",no,tangled,0,0
14," Is there a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,0,no,No rationale,yes,avengers: age of ultron,0,0
15," Is it true that there are no movies, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,1,yes,No rationale,no,avengers: age of ultron,0,0
16," Is there a movie, released in 2009, starring Alan Rickman where David Yates is the director?",8,0,yes,"the movie is ""harry potter and the half-blood prince"".",yes,harry potter and the half-blood prince,1,1
