,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity,reasoning_erbench,reasoning_manual
0, Is there an artist or group who sang a song titled day after day in 1971?,0,0,yes,"there is an artist who sang a song titled ""day after day"" in 1971. the song was performed by the british rock band badfinger.",yes,badfinger,1,1
1, Is it true that no artists nor groups sang a song titled day after day in 1971?,0,1,yes,"it is true. there were no artists or groups that released a song titled ""day after day"" in 1971.",no,badfinger,0,0
2, Is there an artist or group who sang a song titled elegie in 1975?,1,0,yes,"there is an artist who sang a song titled ""elegie"" in 1975. the song was performed by the progressive rock band, the nice.",yes,patti smith,0,0
3, Is it true that no artists nor groups sang a song titled elegie in 1975?,1,1,yes,"it is true that no artists or groups sang a song titled ""elegie"" in 1975. i can confirm this by searching through various music databases and charts from that year.",no,patti smith,0,0
4, Is there an artist or group who sang a song titled jimmy james in 1992?,2,0,yes,"there is an artist who sang a song titled ""jimmy james"" in 1992. the song was performed by the american alternative rock band, beastie boys.",yes,beastie boys,1,1
5, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,2,1,yes,"it is true that no artists or groups sang a song titled ""jimmy james"" in 1992. i can confirm this by searching through various music databases and not finding any songs with that title released in 1992.",no,beastie boys,0,0
6, Is there an artist or group who sang a song titled congratulations in 1984?,3,0,no,"there is no artist or group who sang a song titled ""congratulations"" in 1984.",yes,reba mcentire,0,0
7, Is it true that no artists nor groups sang a song titled congratulations in 1984?,3,1,yes,"it is true that no artists or groups sang a song titled ""congratulations"" in 1984. i can confirm this by searching through various music databases and charts from that year, and none of them show any song with that title being released or charting.",no,reba mcentire,0,0
8, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,0,yes,"there is an artist or group who sang a song titled ""bad boy (feat. jungle rock jr.)"" in 2009. the song was performed by the south korean boy band, big bang.",yes,"royce da 5'9""",0,0
9, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,1,yes,"it is true. there is no record of any artist or group releasing a song titled ""bad boy (feat. jungle rock jr.)"" in 2009.",no,"royce da 5'9""",0,0
10, Is there an artist or group who sang a song titled when i'm gone in 1979?,5,0,unsure,"there are several songs titled ""when i'm gone"" that were released in 1979 by different artists or groups. without more specific information, it is difficult to determine which one is being referred to.",yes,marty robbins,0,0
11, Is it true that no artists nor groups sang a song titled when i'm gone in 1979?,5,1,yes,"it is true. there were no artists or groups that sang a song titled ""when i'm gone"" in 1979.",no,marty robbins,0,0
12, Is there an artist or group who sang a song titled in the garden in 2003?,6,0,no,"there is no artist or group who sang a song titled ""in the garden"" in 2003. i have searched for it and found no relevant results.",yes,randy travis,0,0
13, Is it true that no artists nor groups sang a song titled in the garden in 2003?,6,1,yes,"it is true that no artists or groups sang a song titled ""in the garden"" in 2003. i checked various music databases and did not find any songs with that title released in 2003.",no,randy travis,0,0
14, Is there an artist or group who sang a song titled the invite in 2016?,7,0,no,"i am not aware of any artist or group who sang a song titled ""the invite"" in 2016.",yes,pepper,0,0
15, Is it true that no artists nor groups sang a song titled the invite in 2016?,7,1,yes,"it is true that no artists or groups sang a song titled ""the invite"" in 2016. i can confirm this by searching for the song title on various music databases and finding no results for a song with that title released in 2016.",no,pepper,0,0
16, Is there an artist or group who sang a song titled toadies in 1984?,8,0,no,"there is no record of an artist or group who sang a song titled ""toadies"" in 1984.",yes,minutemen,0,0
17, Is it true that no artists nor groups sang a song titled toadies in 1984?,8,1,yes,"it is true. there is no record of any artist or group releasing a song titled ""toadies"" in 1984.",no,minutemen,0,0
18, Is there an artist or group who sang a song titled danger heartbreak dead ahead in 1988?,9,0,no,"There is no evidence of an artist or group who sang a song titled ""Danger Heartbreak Dead Ahead"" in 1988. A search for this title in music databases and search engines did not yield any results.
",yes,the marvelettes,0,0
19, Is it true that no artists nor groups sang a song titled danger heartbreak dead ahead in 1988?,9,1,yes,"it is true that no artists or groups sang a song titled ""danger heartbreak dead ahead"" in 1988. i checked various music databases and could not find any record of a song with that title being released in 1988.",no,the marvelettes,0,0
20, Is there an artist or group who sang a song titled baby don't you weep in 1963?,10,0,yes,"the artist who sang the song ""baby don't you weep"" in 1963 is mary wells.",yes,garnet mimms & the enchanters,0,0
21, Is it true that no artists nor groups sang a song titled baby don't you weep in 1963?,10,1,yes,"it is true that no artists or groups sang a song titled ""baby don't you weep"" in 1963. i can confirm this by searching through various music databases and archives from that time period.",no,garnet mimms & the enchanters,0,0
22, Is there an artist or group who sang a song titled fall in 2007?,11,0,unsure,"there were several artists and groups who released songs titled ""fall"" in 2007, such as clay walker, daughtry, and justin timberlake. without more specific information, it is difficult to determine which one is being referred to.",yes,clay walker,1,1
23, Is it true that no artists nor groups sang a song titled fall in 2007?,11,1,unsure,"i cannot confirm if no artists or groups sang a song titled ""fall"" in 2007 as there were numerous songs released in that year and it is difficult to keep track of all of them.",no,clay walker,0,0
24, Is there an artist or group who sang a song titled the sun is rising in 2012?,12,0,yes,"there is an artist who sang a song titled ""the sun is rising"" in 2012. the artist is britt nicole.",yes,britt nicole,1,1
25, Is it true that no artists nor groups sang a song titled the sun is rising in 2012?,12,1,yes,"it is true that no artists or groups sang a song titled ""the sun is rising"" in 2012. i can confirm this by searching through various music databases and charts from that year.",no,britt nicole,0,0
26, Is there an artist or group who sang a song titled that's the way love goes in 1993?,13,0,yes,"there is an artist who sang a song titled ""that's the way love goes"" in 1993. the artist is janet jackson.",yes,janet jackson,1,1
27, Is it true that no artists nor groups sang a song titled that's the way love goes in 1993?,13,1,no,"Janet Jackson released a song titled ""That's the Way Love Goes"" in 1993.
",no,janet jackson,1,1
28, Is there an artist or group who sang a song titled sing her a love song in 1956?,14,0,no,"there is no record of an artist or group who sang a song titled ""sing her a love song"" in 1956.",yes,carl smith,0,0
29, Is it true that no artists nor groups sang a song titled sing her a love song in 1956?,14,1,yes,"it is true that no artists or groups sang a song titled ""sing her a love song"" in 1956. i checked various music databases and could not find any record of a song with that title being released in 1956.",no,carl smith,0,0
30, Is there an artist or group who sang a song titled but not for me in 1957?,15,0,yes,"george gershwin composed the song ""but not for me"" in 1930, and it has been covered by many artists over the years. in 1957, ella fitzgerald released a popular version of the song on her album ""ella fitzgerald sings the george and ira gershwin songbook.""",yes,red garland,0,0
31, Is it true that no artists nor groups sang a song titled but not for me in 1957?,15,1,no,"it is not true. the song ""but not for me"" was written by george gershwin and ira gershwin in 1930 and has been recorded by numerous artists over the years, including ella fitzgerald, chet baker, and judy garland. while it is possible that no artists or groups released a new recording of the song in 1957, it is not accurate to say that no one sang the song at all during that year.",no,red garland,0,0
32, Is there an artist or group who sang a song titled walk it off in 2014?,16,0,no,"I have searched for any artist or group who released a song titled ""Walk It Off"" in 2014, but I couldn't find any. It is possible that there might be an independent artist who released a song with that title, but it didn't gain enough popularity to be recognized.
",yes,lil wayne,0,0
33, Is it true that no artists nor groups sang a song titled walk it off in 2014?,16,1,yes,"it is true that no artists or groups sang a song titled ""walk it off"" in 2014. i have searched for the song title in various music databases and found no results for any artist or group releasing a song with that title in 2014.",no,lil wayne,0,0
34, Is there an artist or group who sang a song titled engineers in 1979?,17,0,no,"there is no record of an artist or group who sang a song titled ""engineers"" in 1979.",yes,gary numan,0,0
35, Is it true that no artists nor groups sang a song titled engineers in 1979?,17,1,yes,"it is true. there is no record of any artist or group releasing a song titled ""engineers"" in 1979.",no,gary numan,0,0
36, Is there an artist or group who sang a song titled morning sunrise in 2016?,18,0,unsure,"as an ai language model, i don't have access to information about every song released in 2016.",yes,weldon irvine,0,0
37, Is it true that no artists nor groups sang a song titled morning sunrise in 2016?,18,1,yes,"it is true that no artists or groups sang a song titled ""morning sunrise"" in 2016. i can confirm this by searching through various music databases and charts from that year.",no,weldon irvine,0,0
38, Is there an artist or group who sang a song titled county sheriff in 1966?,19,0,yes,"there is an artist or group who sang a song titled ""county sheriff"" in 1966. the song was performed by a country music singer named bob luman.",yes,red simpson,0,0
39, Is it true that no artists nor groups sang a song titled county sheriff in 1966?,19,1,yes,"it is true that no artists or groups sang a song titled ""county sheriff"" in 1966. i can confirm this by searching through various music databases and not finding any record of such a song being released in that year.",no,red simpson,0,0
40, Is there an artist or group who sang a song titled got to get a knutt in 1972?,20,0,no,"there is no artist or group who sang a song titled ""got to get a knutt"" in 1972. i have searched through various music databases and could not find any record of such a song.",yes,the new birth,0,0
