,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an airport located at latitude -34.7833328247 and longitude -72.0508346558?,"No, there are no airports located at latitude -34.7833328247 and longitude -72.0508346558. This location corresponds to a rural area in the Maule Region of Chile.",torca,torca
1,0,1, Is it true that there are no airports located at latitude -34.7833328247 and longitude -72.0508346558?,"Yes, it is true. There are no airports located at latitude -34.7833328247 and longitude -72.0508346558. This location corresponds to a rural area in the O'Higgins Region of Chile.",torca,torca
2,1,0, Is there an airport located at latitude 10.5169439316 and longitude -85.5655593872?,"No, there are no airports located at latitude 10.5169439316 and longitude -85.5655593872. This location corresponds to a rural area in the province of Guanacaste, Costa Rica.",catsa,catsa
3,1,1, Is it true that there are no airports located at latitude 10.5169439316 and longitude -85.5655593872?,"Yes, it is true. There are no airports located at latitude 10.5169439316 and longitude -85.5655593872. This location corresponds to a point in the Pacific Ocean, approximately 1,000 km southwest of Mexico.",catsa,catsa
4,2,0, Is there an airport located at latitude -10.8478441238 and longitude -76.2469558716?,"No, there are no airports located at latitude -10.8478441238 and longitude -76.2469558716. This location corresponds to a rural area in the Andes Mountains in Peru.",vicco,vicco
5,2,1, Is it true that there are no airports located at latitude -10.8478441238 and longitude -76.2469558716?,"Yes, it is true. There are no airports located at latitude -10.8478441238 and longitude -76.2469558716. This location corresponds to a rural area in the Andes Mountains in Peru.",vicco,vicco
6,3,0, Is there an airport located at latitude -13.7894001007 and longitude 33.78099823?,"No, there are no airports located at latitude -13.7894001007 and longitude 33.78099823. This location corresponds to a rural area in the Mwanza region of Tanzania.",lilongwe international,lilongwe international
7,3,1, Is it true that there are no airports located at latitude -13.7894001007 and longitude 33.78099823?,"Yes, it is true. There are no airports located at latitude -13.7894001007 and longitude 33.78099823. This location corresponds to a rural area in Malawi, Africa.",lilongwe international,lilongwe international
8,4,0, Is there an airport located at latitude 47.4942016602 and longitude 14.4975004196?,"Yes, there is an airport located at latitude 47.4942016602 and longitude 14.4975004196. The airport is called Blue Danube Airport Linz and is located in Linz, Austria.",trieben,trieben
9,4,1, Is it true that there are no airports located at latitude 47.4942016602 and longitude 14.4975004196?,"Yes, it is true. There are no airports located at latitude 47.4942016602 and longitude 14.4975004196. This location corresponds to a rural area in Austria, near the town of Gröbming in the Styria region.",trieben,trieben
10,5,0, Is there an airport located at latitude -17.8083324432 and longitude -67.4433364868?,"No, there are no airports located at latitude -17.8083324432 and longitude -67.4433364868. This location corresponds to a rural area in the department of Cochabamba, Bolivia.",intiraymi,intiraymi
11,5,1, Is it true that there are no airports located at latitude -17.8083324432 and longitude -67.4433364868?,"Yes, it is true. There are no airports located at latitude -17.8083324432 and longitude -67.4433364868. This location corresponds to a rural area in Bolivia, near the town of San Pedro de Buena Vista.",intiraymi,intiraymi
12,6,0, Is there an airport located at latitude 43.3708833333333 and longitude -78.4144166666667?,"No, there are no airports located at latitude 43.3708833333333 and longitude -78.4144166666667. This location corresponds to a rural area near the town of Durham, Ontario, Canada.",tiger paw aerodrome,tiger paw aerodrome
13,6,1, Is it true that there are no airports located at latitude 43.3708833333333 and longitude -78.4144166666667?,"Yes, it is true. There are no airports located at latitude 43.3708833333333 and longitude -78.4144166666667. This location corresponds to a rural area in Ontario, Canada. The nearest airport to this location is the Billy Bishop Toronto City Airport, which is located approximately 120 kilometers to the south-east.",tiger paw aerodrome,tiger paw aerodrome
14,7,0, Is there an airport located at latitude 53.4212989807 and longitude -6.270070076?,"Yes, there is an airport located at latitude 53.4212989807 and longitude -6.270070076. The airport is called Dublin Airport and is located in Collinstown, County Dublin, Ireland.",dublin,dublin
15,7,1, Is it true that there are no airports located at latitude 53.4212989807 and longitude -6.270070076?,"No, it is not true. There is an airport located at latitude 53.4212989807 and longitude -6.270070076. The airport is called Dublin Airport and is located in Dublin, Ireland.",dublin,dublin
16,8,0, Is there an airport located at latitude 15.4033002853 and longitude 108.706001282?,"Yes, there is an airport located at latitude 15.4033002853 and longitude 108.706001282. The airport is called Da Nang International Airport and is located in Da Nang, Vietnam.",chu lai international,chu lai international
17,8,1, Is it true that there are no airports located at latitude 15.4033002853 and longitude 108.706001282?,"No, it is not true. There is an airport located at latitude 15.4033002853 and longitude 108.706001282. The airport is called Da Nang International Airport and is located in Da Nang, Vietnam.",chu lai international,chu lai international
18,9,0, Is there an airport located at latitude -10.7477779388 and longitude -74.2205581665?,"No, there are no airports located at latitude -10.7477779388 and longitude -74.2205581665. This location corresponds to a rural area in the Amazon rainforest in Peru.",obenteni,obenteni
19,9,1, Is it true that there are no airports located at latitude -10.7477779388 and longitude -74.2205581665?,"Yes, it is true. There are no airports located at latitude -10.7477779388 and longitude -74.2205581665. This location corresponds to a rural area in the Amazon rainforest in Peru.",obenteni,obenteni
