,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all
0,0,0,What's the inaccurate option about the airport Torca?,"['Option 1: ICAO Shortcode of the airport is SCLI.', 'Option 2: Latitude of the airport is -34.7833.', 'Option 3: Longitude of the airport is -72.0508.', 'Option 4: Country code of the airport is US.']",4,"CL, Chile",4,"Option 4: Country code of the airport is US is the inaccurate option. The correct country code for Torca airport is not US, it is Chile."
1,0,1,What is the false option about the airport Torca?,"['Option 1: The abbreviated form (ICAO) for the airport is SCLI.', 'Option 2: The latitude of the airport is -34.7833.', 'Option 3: The longitude of the airport is -72.0508.', 'Option 4: The country code of the airport is US.']",4,"CL, Chile",4,"Option 4: The country code of the airport is US is the false option. The correct country code for Torca airport is CL, which stands for Chile."
2,0,2,What is the wrong option regarding the airport Torca?,"['Option 1: The ICAO shortcode for the airport is the same with SCLI.', 'Option 2: The airport is located at -34.7833 latitude.', 'Option 3: The airport is located at -72.0508 longitude.', 'Option 4: The airport has a country code of US.']",4,"CL, Chile",4,"Option 4: The airport has a country code of US is the wrong option regarding the airport Torca. The correct country code for Torca airport is CL, which stands for Chile."
3,1,0,What's the inaccurate option about the airport Catsa?,"['Option 1: ICAO Shortcode of the airport is K2R1.', 'Option 2: Latitude of the airport is 10.5169.', 'Option 3: Longitude of the airport is -85.5656.', 'Option 4: Country code of the airport is CR.']",1,MECT,1,Option 1: ICAO Shortcode of the airport is K2R1 is the inaccurate option.  Explanation: The ICAO Shortcode of the airport Catsa is not K2R1. This is because K2R1 is not a valid ICAO code. The correct ICAO code for the airport Catsa is MRCO.
4,1,1,What is the false option about the airport Catsa?,"['Option 1: The abbreviated form (ICAO) for the airport is K2R1.', 'Option 2: The latitude of the airport is 10.5169.', 'Option 3: The longitude of the airport is -85.5656.', 'Option 4: The country code of the airport is CR.']",1,MECT,4,"Option 4: The country code of the airport is CR is the false option.  Explanation: The country code for Costa Rica is CR, but the airport Catsa is not located in Costa Rica. Therefore, this option is false."
5,1,2,What is the wrong option regarding the airport Catsa?,"['Option 1: The ICAO shortcode for the airport is the same with K2R1.', 'Option 2: The airport is located at 10.5169 latitude.', 'Option 3: The airport is located at -85.5656 longitude.', 'Option 4: The airport has a country code of CR.']",1,MECT,4,"Option 4: The airport has a country code of CR is the wrong option.  Explanation: The country code for Costa Rica is CR, but the airport Catsa is not located in Costa Rica. Therefore, option 4 is incorrect."
6,2,0,What's the inaccurate option about the airport Vicco?,"['Option 1: ICAO Shortcode of the airport is SPVI.', 'Option 2: Latitude of the airport is -10.8478.', 'Option 3: Longitude of the airport is -76.247.', 'Option 4: Country code of the airport is PE.']",NONE OF ABOVE,NONE,NONE OF ABOVE,None of the above. All options seem to be accurate.
7,2,1,What is the false option about the airport Vicco?,"['Option 1: The abbreviated form (ICAO) for the airport is SPVI.', 'Option 2: The latitude of the airport is -10.8478.', 'Option 3: The longitude of the airport is -76.247.', 'Option 4: The country code of the airport is PE.']",NONE OF ABOVE,NONE,NONE OF ABOVE,None of the above. All options are correct.
8,2,2,What is the wrong option regarding the airport Vicco?,"['Option 1: The ICAO shortcode for the airport is the same with SPVI.', 'Option 2: The airport is located at -10.8478 latitude.', 'Option 3: The airport is located at -76.247 longitude.', 'Option 4: The airport has a country code of PE.']",NONE OF ABOVE,NONE,1,"Option 1: The ICAO shortcode for the airport is the same with SPVI is not a wrong option.  Explanation:  - Option 2 and 3 provide the correct latitude and longitude coordinates for Vicco airport in Peru. - Option 4 is also correct as PE is the country code for Peru.  - Option 1 is also correct as SPVI is the ICAO code for Vicco airport.  Therefore, none of the options are wrong."
9,3,0,What's the inaccurate option about the airport Lilongwe International?,"['Option 1: ICAO Shortcode of the airport is FWKI.', 'Option 2: Latitude of the airport is -13.7894.', 'Option 3: Longitude of the airport is 33.781.', 'Option 4: Country code of the airport is MW.']",NONE OF ABOVE,NONE,NONE OF ABOVE,None of the above. All options are correct.
