,entity_idx,question_idx,question,model_response
0,1,2,"Is the genre of the song titled ""elegie"" by patti smith pop/rock?",No.
1,5,0,"Do you know the song ""when i'm gone"" by marty robbins?",No.
2,6,1,"Is the song titled ""in the garden"" by randy travis released in 2003?",No.
3,7,0,"Do you know the song ""the invite"" by pepper?",No.
4,7,1,"Is the song titled ""the invite"" by pepper released in 2016?",No.
5,7,2,"Is the genre of the song titled ""the invite"" by pepper country/folk?",No.
6,8,0,"Do you know the song ""toadies"" by minutemen?",No.
7,8,1,"Is the song titled ""toadies"" by minutemen released in 1984?",No.
8,8,2,"Is the genre of the song titled ""toadies"" by minutemen pop/rock?","I'm sorry, I cannot answer this question without more information. There is no song titled ""Toadies"" by Minutemen."
9,9,1,"Is the song titled ""danger heartbreak dead ahead"" by the marvelettes released in 1988?",No.
10,9,2,"Is the genre of the song titled ""danger heartbreak dead ahead"" by the marvelettes blues/jazz?",No.
11,10,0,"Do you know the song ""baby don't you weep"" by garnet mimms & the enchanters?",No.
12,10,2,"Is the genre of the song titled ""baby don't you weep"" by garnet mimms & the enchanters blues/jazz?",No.
13,11,1,"Is the song titled ""fall"" by clay walker released in 2007?",No.
14,13,2,"Is the genre of the song titled ""that's the way love goes"" by janet jackson pop/rock?",No.
15,14,0,"Do you know the song ""sing her a love song"" by carl smith?",No.
16,15,0,"Do you know the song ""but not for me"" by red garland?",No.
17,17,0,"Do you know the song ""engineers"" by gary numan?",No.
18,18,0,"Do you know the song ""morning sunrise"" by weldon irvine?",No.
19,18,1,"Is the song titled ""morning sunrise"" by weldon irvine released in 2016?",No.
20,19,0,"Do you know the song ""county sheriff"" by red simpson?",No.
21,20,0,"Do you know the song ""got to get a knutt"" by the new birth?",No.
22,20,2,"Is the genre of the song titled ""got to get a knutt"" by the new birth blues/jazz?",No.
23,21,2,"Is the genre of the song titled ""make her say"" by kid cudi pop/rock?",No.
24,23,1,"Is the song titled ""why did you hoodoo me"" by savoy brown released in 2017?",No.
25,24,0,"Do you know the song ""earth angel"" by bobby vee?",No.
26,26,1,"Is the song titled ""true love waits"" by radiohead released in 2016?",No.
27,30,1,"Is the song titled ""freedom sound"" by the skatalites released in 1997?",No.
28,30,2,"Is the genre of the song titled ""freedom sound"" by the skatalites country/folk?",No.
29,31,2,"Is the genre of the song titled ""the pot"" by tool pop/rock?",No.
30,32,1,"Is the song titled ""two seconds too late"" by welshly arms released in 2013?",No.
31,32,2,"Is the genre of the song titled ""two seconds too late"" by welshly arms blues/jazz?",No.
32,34,1,"Is the song titled ""smile"" by lyle lovett released in 2003?",No.
33,35,2,"Is the genre of the song titled ""go hard or go home"" by wiz khalifa pop/rock?",No.
34,37,1,"Is the song titled ""ends of the earth"" by kenny chesney released in 2018?",No.
35,38,2,"Is the genre of the song titled ""bread and roses"" by judy collins pop/rock?",No.
36,41,2,"Is the genre of the song titled ""dollar sign"" by vybz kartel country/folk?",No.
37,42,0,"Do you know the song ""haut de gamme"" by 83?",No.
38,42,1,"Is the song titled ""haut de gamme"" by 83 released in 2009?",No.
39,43,0,"Do you know the song ""wish it were me"" by the platters?",No.
