,entity_idx,question_idx,question,model_response
0,6,2,Did the soccer player L. Modrić wear jersey number 10 in 2019?,No.
1,10,2,Did the soccer player G. Chiellini wear jersey number 3 in 2019?,No.
2,13,1,Did the soccer player L. Suárez play for FC Barcelona in 2019?,No.
3,13,2,Did the soccer player L. Suárez wear jersey number 9 in 2019?,No.
4,19,2,Did the soccer player H. Kane wear jersey number 10 in 2019?,No.
5,21,2,Did the soccer player N. Kanté wear jersey number 7 in 2019?,No.
6,23,2,Did the soccer player Piqué wear jersey number 3 in 2019?,No.
7,35,2,Did the soccer player P. Pogba wear jersey number 6 in 2019?,No.
8,37,2,Did the soccer player S. Mané wear jersey number 10 in 2019?,No.
9,41,1,Did the soccer player Thiago Silva play for Paris Saint-Germain in 2019?,No.
10,42,2,Did the soccer player K. Benzema wear jersey number 9 in 2019?,No.
11,45,2,Did the soccer player M. Hummels wear jersey number 15 in 2019?,No.
12,50,2,Did the soccer player L. Insigne wear jersey number 24 in 2019?,No.
13,52,2,Did the soccer player Casemiro wear jersey number 14 in 2019?,No.
14,53,2,Did the soccer player A. Laporte wear jersey number 14 in 2019?,No.
15,62,2,Did the soccer player T. Müller wear jersey number 25 in 2019?,No.
16,73,2,Did the soccer player Z. Ibrahimović wear jersey number 9 in 2019?,No.
17,74,0,Do you know the soccer player A. Gómez?,No.
18,75,2,Did the soccer player G. Higuaín wear jersey number 21 in 2019?,No.
19,77,1,Did the soccer player G. Bale play for Real Madrid CF in 2019?,No.
20,78,2,Did the soccer player Marcelo wear jersey number 12 in 2019?,No.
21,82,2,Did the soccer player Alex Sandro wear jersey number 12 in 2019?,No.
22,84,2,Did the soccer player Iago Aspas wear jersey number 10 in 2019?,No.
23,87,1,Did the soccer player Neto play for FC Barcelona in 2019?,No.
24,87,4,Did the soccer player Neto participate in leauge named Spain Primera Division during the year 2019?,No.
25,89,1,Did the soccer player J. Rodríguez play for Real Madrid CF in 2019?,No.
26,89,2,Did the soccer player J. Rodríguez wear jersey number 16 in 2019?,No.
27,90,0,Do you know the soccer player A. Lopes?,No.
28,90,2,Did the soccer player A. Lopes wear jersey number 1 in 2019?,No.
29,92,2,Did the soccer player M. Icardi wear jersey number 36 in 2019?,No.
30,100,0,Do you know the soccer player A. Robertson?,No.
31,108,1,Did the soccer player Pepe play for FC Porto in 2019?,No.
32,108,2,Did the soccer player Pepe wear jersey number 3 in 2019?,No.
33,108,4,Did the soccer player Pepe participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No.
34,110,0,Do you know the soccer player S. Ruffier?,No.
35,111,1,Did the soccer player S. Sirigu play for Torino F.C. in 2019?,No.
36,114,2,Did the soccer player Lucas Leiva wear jersey number 6 in 2019?,No.
37,121,1,Did the soccer player M. Mandžukić play for Juventus in 2019?,No.
38,121,2,Did the soccer player M. Mandžukić wear jersey number 17 in 2019?,No.
39,123,1,Did the soccer player J. Boateng play for FC Bayern München in 2019?,No.
40,124,2,Did the soccer player Azpilicueta wear jersey number 28 in 2019?,No.
41,129,0,Do you know the soccer player Canales?,No.
42,129,4,Did the soccer player Canales participate in leauge named Spain Primera Division during the year 2019?,No.
43,132,3,Was the soccer player Pizzi born in Portugal?,No.
44,132,4,Did the soccer player Pizzi participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No.
45,143,0,Do you know the soccer player Felipe?,No.
46,145,1,Did the soccer player João Cancelo play for Manchester City in 2019?,No.
47,147,0,Do you know the soccer player J. Brandt?,No.
48,150,2,Did the soccer player N. Fekir wear jersey number 8 in 2019?,No.
49,151,3,Was the soccer player L. Hernández born in France?,No.
50,156,0,Do you know the soccer player J. Pavlenka?,No.
51,157,2,Did the soccer player Iniesta wear jersey number 8 in 2019?,No.
52,159,2,Did the soccer player Casillas wear jersey number 1 in 2019?,No.
53,159,4,Did the soccer player Casillas participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No.
54,160,0,Do you know the soccer player R. Jarstein?,No.
55,165,1,Did the soccer player Falcao play for AS Monaco in 2019?,No.
56,168,0,Do you know the soccer player E. Garay?,No.
57,168,1,Did the soccer player E. Garay play for Valencia CF in 2019?,No.
58,169,2,Did the soccer player Rui Patrício wear jersey number 11 in 2019?,No.
59,169,4,Did the soccer player Rui Patrício participate in leauge named English Premier League during the year 2019?,No.
60,170,2,Did the soccer player R. Nainggolan wear jersey number 4 in 2019?,No.
61,173,2,Did the soccer player S. Khedira wear jersey number 6 in 2019?,No.
62,175,1,Did the soccer player M. Kruse play for Fenerbahçe SK in 2019?,No.
63,180,1,Did the soccer player K. Trapp play for Eintracht Frankfurt in 2019?,No.
64,181,1,Did the soccer player Illarramendi play for Real Sociedad in 2019?,No.
65,181,2,Did the soccer player Illarramendi wear jersey number 4 in 2019?,No.
66,182,1,Did the soccer player D. Blind play for Ajax in 2019?,No.
67,189,2,Did the soccer player Bartra wear jersey number 5 in 2019?,No.
68,190,0,Do you know the soccer player Rodrigo?,No.
69,190,1,Did the soccer player Rodrigo play for Valencia CF in 2019?,No.
70,191,3,Was the soccer player W. Zaha born in Côte d'Ivoire?,No.
71,202,2,Did the soccer player J. Draxler wear jersey number 23 in 2019?,No.
72,210,2,Did the soccer player Y. Carrasco wear jersey number 10 in 2019?,No.
73,210,3,Was the soccer player Y. Carrasco born in Belgium?,No.
74,223,0,Do you know the soccer player D. Sánchez?,No.
75,230,0,Do you know the soccer player Fabián?,No.
76,230,3,Was the soccer player Fabián born in Spain?,No.
