,entity_idx,question_idx,question,model_response
0,0,3,Is the movie Avatar released in year 2009 non-animation movie?,No
1,32,3,Is the movie Alice in Wonderland released in year 2010 non-animation movie?,No.
2,33,2,Is the movie X-Men: The Last Stand released in year 2006 produced in Canada?,No
3,39,3,Is the movie TRON: Legacy released in year 2010 non-animation movie?,No.
4,63,3,"Is the movie The Chronicles of Narnia: The Lion, the Witch and the Wardrobe released in year 2005 non-animation movie?",No.
5,78,2,Is the movie The Jungle Book released in year 2016 produced in UK?,No
6,78,3,Is the movie The Jungle Book released in year 2016 non-animation movie?,No.
7,82,3,Is the movie Dawn of the Planet of the Apes released in year 2014 non-animation movie?,No.
8,83,2,Is the movie The Lovers released in year 2015 produced in Belgium?,No
9,105,3,Is the movie Alice Through the Looking Glass released in year 2016 non-animation movie?,No.
10,107,3,Is the movie Warcraft released in year 2016 non-animation movie?,No.
11,109,3,Is the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010 non-animation movie?,No.
12,111,3,Is the movie Transformers released in year 2007 non-animation movie?,No.
13,112,2,Is the movie Alexander released in year 2004 produced in Germany?,No.
14,134,2,Is the movie Mission: Impossible - Rogue Nation released in year 2015 produced in China?,No
15,167,2,Is the movie Sahara released in year 2005 produced in UK?,No.
16,175,3,Is the movie The BFG released in year 2016 non-animation movie?,No
17,190,3,Is the movie The Adventures of Tintin released in year 2011 non-animation movie?,No
18,195,1,Is the movie Harry Potter and the Deathly Hallows: Part II released in year 2011 directed by Matt Birch?,No.
19,201,1,Is the movie Harry Potter and the Deathly Hallows: Part I released in year 2010 directed by Matt Birch?,No.
20,205,2,Is the movie X-Men 2 released in year 2003 produced in Canada?,No
21,218,3,Is the movie Life of Pi released in year 2012 non-animation movie?,No.
22,220,2,Is the movie Jason Bourne released in year 2016 produced in UK?,No.
23,227,3,Is the movie Speed Racer released in year 2008 non-animation movie?,No
24,241,2,Is the movie Gravity released in year 2013 produced in UK?,No.
25,270,2,Is the movie Stuart Little released in year 1999 produced in Germany?,No
26,270,3,Is the movie Stuart Little released in year 1999 non-animation movie?,No
27,295,2,Is the movie Where the Wild Things Are released in year 2009 produced in Germany?,No
28,295,3,Is the movie Where the Wild Things Are released in year 2009 non-animation movie?,No.
29,299,2,Is the movie Blood Diamond released in year 2006 produced in Germany?,No
30,311,3,Is the movie Son of the Mask released in year 2005 non-animation movie?,No.
31,314,2,Is the movie Green Zone released in year 2010 produced in France?,No
32,335,2,Is the movie Transcendence released in year 2014 produced in UK?,No.
33,343,2,Is the movie Percy Jackson & the Olympians: The Lightning Thief released in year 2010 produced in UK?,No
34,369,2,Is the movie The Interpreter released in year 2005 produced in UK?,No.
35,374,2,Is the movie Spy Game released in year 2001 produced in Germany?,No
36,380,2,Is the movie K-19: The Widowmaker released in year 2002 produced in UK?,No
37,401,1,Is the movie Open Season released in year 2006 directed by Roger Allers?,No.
38,420,3,Is the movie Cats & Dogs: The Revenge of Kitty Galore released in year 2010 non-animation movie?,No
39,433,3,Is the movie Charlotte's Web released in year 2006 non-animation movie?,No
40,442,2,Is the movie Four Christmases released in year 2008 produced in Germany?,No
41,452,3,Is the movie Flubber released in year 1997 non-animation movie?,No.
42,465,0,Do you know the movie Déjà Vu released in year 1997?,No.
43,465,2,Is the movie Déjà Vu released in year 1997 produced in USA?,No.
44,475,3,Is the movie Mars Attacks! released in year 1996 non-animation movie?,No.
45,476,0,Do you know the movie Evolution released in year 2015?,No
46,476,3,Is the movie Evolution released in year 2015 non-animation movie?,No
47,483,2,Is the movie Looney Tunes: Back in Action released in year 2003 produced in Germany?,No
48,487,3,Is the movie Babe: Pig in the City released in year 1998 non-animation movie?,No
49,491,2,Is the movie Oceans released in year 2009 produced in France?,No
50,492,2,Is the movie A Sound of Thunder released in year 2005 produced in UK?,No.
51,499,2,Is the movie Red Dragon released in year 2002 produced in Germany?,No.
52,506,2,Is the movie The Secret Life of Pets released in year 2016 produced in Japan?,No
53,520,3,Is the movie Inspector Gadget released in year 1999 non-animation movie?,No.
54,530,2,Is the movie Munich released in year 2005 produced in France?,No.
55,543,2,Is the movie Soldier released in year 1998 produced in UK?,No.
56,557,3,Is the movie Dr. Dolittle 2 released in year 2001 non-animation movie?,No.
57,559,2,Is the movie Jarhead released in year 2005 produced in Germany?,No
58,597,2,Is the movie Doom released in year 2005 produced in UK?,No.
59,607,1,Is the movie Legends of Oz: Dorothy's Return released in year 2013 directed by Will Finn?,No.
60,658,2,Is the movie Primary Colors released in year 1998 produced in France?,No
61,667,2,Is the movie Lucky Numbers released in year 2000 produced in France?,No
62,676,2,Is the movie Astro Boy released in year 2009 produced in Hong Kong?,No
63,682,2,Is the movie U-571 released in year 2000 produced in France?,No.
64,703,3,Is the movie Cats & Dogs released in year 2001 non-animation movie?,No
65,709,1,Is the movie Cheaper by the Dozen 2 released in year 2005 directed by Adam Shankman?,No.
66,712,1,Is the movie The Family Man released in year 2000 directed by Brett Ratner?,No.
67,741,2,Is the movie London Has Fallen released in year 2016 produced in UK?,No.
68,746,2,Is the movie The Lego Movie released in year 2014 produced in Australia?,No.
69,761,2,Is the movie The Relic released in year 1997 produced in UK?,No.
70,774,2,Is the movie The Black Dahlia released in year 2006 produced in Germany?,No
71,775,2,Is the movie Flyboys released in year 2006 produced in UK?,No
72,787,1,Is the movie Beyond Borders released in year 2003 directed by Martin Campbell?,No.
73,788,3,Is the movie Xi you ji zhi: Sun Wukong san da Baigu Jing released in year 2016 non-animation movie?,No
74,809,1,Is the movie The Pacifier released in year 2005 directed by Adam Shankman?,No.
75,809,2,Is the movie The Pacifier released in year 2005 produced in Canada?,No.
76,822,3,Is the movie Casper released in year 1995 non-animation movie?,No
77,829,2,Is the movie City of Angels released in year 1998 produced in Germany?,No
78,842,2,Is the movie Ronin released in year 1998 produced in UK?,No
79,860,3,Is the movie Muppets Most Wanted released in year 2014 non-animation movie?,No
80,861,3,Is the movie Thunderbirds released in year 2004 non-animation movie?,No
81,874,2,Is the movie All the King's Men released in year 2006 produced in Germany?,No
82,875,2,Is the movie Shaft released in year 2000 produced in Germany?,No
83,893,2,Is the movie Man on the Moon released in year 1999 produced in UK?,No
84,898,2,Is the movie Barnyard released in year 2006 produced in Germany?,No
85,905,3,Is the movie Ted released in year 2012 non-animation movie?,No.
86,932,2,Is the movie Non-Stop released in year 2014 produced in UK?,No.
87,939,2,Is the movie Hansel & Gretel: Witch Hunters released in year 2013 produced in Germany?,No.
88,950,1,Is the movie The Replacements released in year 2000 directed by Howard Deutch?,No.
89,952,2,Is the movie The Negotiator released in year 1998 produced in Germany?,No
90,962,3,Is the movie The Adventures of Sharkboy and Lavagirl 3-D released in year 2005 non-animation movie?,No
91,968,3,Is the movie Marmaduke released in year 2010 non-animation movie?,No
92,971,2,Is the movie Assassins released in year 1995 produced in France?,No.
93,975,2,Is the movie Basic released in year 2003 produced in Germany?,No
94,994,2,Is the movie Domino released in year 2005 produced in France?,No.
95,998,2,Is the movie Death to Smoochy released in year 2002 produced in UK?,No
96,1013,0,Do you know the movie The Tooth Fairy released in year 2006?,No.
97,1013,2,Is the movie The Tooth Fairy released in year 2006 produced in USA?,No
98,1013,3,Is the movie The Tooth Fairy released in year 2006 non-animation movie?,No
99,1015,2,Is the movie Child 44 released in year 2015 produced in Czech Republic?,No.
100,1016,2,Is the movie Rat Race released in year 2001 produced in Canada?,No
101,1041,2,Is the movie Inchon released in year 1981 produced in South Korea?,No.
102,1052,2,Is the movie Monster-in-Law released in year 2005 produced in Germany?,No
103,1057,3,Is the movie The Muppets released in year 2011 non-animation movie?,No.
104,1066,2,Is the movie The Specialist released in year 1994 produced in Peru?,No
105,1071,1,Is the movie Fat Albert released in year 2004 directed by Joel Zwick?,No.
106,1071,3,Is the movie Fat Albert released in year 2004 non-animation movie?,No
107,1072,2,Is the movie Resident Evil: Extinction released in year 2007 produced in France?,No
108,1084,2,Is the movie 16 Blocks released in year 2006 produced in Germany?,No.
109,1088,3,Is the movie Aliens in the Attic released in year 2009 non-animation movie?,No
110,1102,2,Is the movie Johnny English Reborn released in year 2011 produced in USA?,No.
