,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all
0,0,0,What's the inaccurate option about the airport Torca?,"['Option 1: ICAO Shortcode of the airport is SCLI.', 'Option 2: Latitude of the airport is -34.7833.', 'Option 3: Longitude of the airport is -72.0508.', 'Option 4: Country code of the airport is US.']",4,"CL, Chile",4,"Option 4: Country code of the airport is US. Explanation: Torca airport is located in Chile, not in the United States. Therefore, the country code of the airport cannot be US."
1,0,1,What is the false option about the airport Torca?,"['Option 1: The abbreviated form (ICAO) for the airport is SCLI.', 'Option 2: The latitude of the airport is -34.7833.', 'Option 3: The longitude of the airport is -72.0508.', 'Option 4: The country code of the airport is US.']",4,"CL, Chile",4,"Option 4: The country code of the airport is US. Explanation: Torca airport is located in Chile, not in the United States. Therefore, the country code for the airport cannot be US."
2,0,2,What is the wrong option regarding the airport Torca?,"['Option 1: The ICAO shortcode for the airport is the same with SCLI.', 'Option 2: The airport is located at -34.7833 latitude.', 'Option 3: The airport is located at -72.0508 longitude.', 'Option 4: The airport has a country code of US.']",4,"CL, Chile",4,"Option 4: The airport has a country code of US. Explanation: Torca airport is located in Chile, not in the United States. Therefore, its country code would not be US."
3,1,0,What's the inaccurate option about the airport Catsa?,"['Option 1: ICAO Shortcode of the airport is K2R1.', 'Option 2: Latitude of the airport is 10.5169.', 'Option 3: Longitude of the airport is -85.5656.', 'Option 4: Country code of the airport is CR.']",1,MECT,1,"Option 1: ICAO Shortcode of the airport is K2R1. Explanation: The ICAO code for Catsa airport is not K2R1. The ICAO code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators. The ICAO code is not to be confused with the IATA code which is a 3-letter code used by airlines and travel agents."
4,1,1,What is the false option about the airport Catsa?,"['Option 1: The abbreviated form (ICAO) for the airport is K2R1.', 'Option 2: The latitude of the airport is 10.5169.', 'Option 3: The longitude of the airport is -85.5656.', 'Option 4: The country code of the airport is CR.']",1,MECT,1,"Option 1: The abbreviated form (ICAO) for the airport is K2R1. Explanation: The ICAO code for Catsa airport is not K2R1. ICAO codes are four-letter alphanumeric code designators for airports around the world based on the geographical location. The code for Catsa airport would start with 'M' as it is located in Costa Rica. The other options are correct as they provide the correct latitude, longitude, and country code for Catsa airport."
5,1,2,What is the wrong option regarding the airport Catsa?,"['Option 1: The ICAO shortcode for the airport is the same with K2R1.', 'Option 2: The airport is located at 10.5169 latitude.', 'Option 3: The airport is located at -85.5656 longitude.', 'Option 4: The airport has a country code of CR.']",1,MECT,1,"Option 1: The ICAO shortcode for the airport is the same with K2R1. Explanation: The ICAO shortcode for Catsa airport is not K2R1. The ICAO (International Civil Aviation Organization) code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators. The ICAO code is not the same as the FAA code, which is often similar but not identical. The correct ICAO code for Catsa airport would be specific to its location and assigned by the ICAO."
6,2,0,What's the inaccurate option about the airport Vicco?,"['Option 1: ICAO Shortcode of the airport is SPVI.', 'Option 2: Latitude of the airport is -25.85.', 'Option 3: Longitude of the airport is -76.247.', 'Option 4: Country code of the airport is PE.']",2,-10.8478,2,"Option 2: Latitude of the airport is -25.85. Explanation: The Vicco airport is located in Peru, which is in the Southern Hemisphere but not as far south as -25.85 latitude. The latitude of Vicco airport is approximately -10.73. Therefore, option 2 is inaccurate."
7,2,1,What is the false option about the airport Vicco?,"['Option 1: The abbreviated form (ICAO) for the airport is SPVI.', 'Option 2: The latitude of the airport is -25.85.', 'Option 3: The longitude of the airport is -76.247.', 'Option 4: The country code of the airport is PE.']",2,-10.8478,2,"Option 2: The latitude of the airport is -25.85. Explanation: The Vicco airport is located in Peru, which is in the Southern Hemisphere. However, the latitude of Peru ranges from approximately -3 to -18 degrees. Therefore, a latitude of -25.85 would place the airport outside of Peru, making this statement false."
8,2,2,What is the wrong option regarding the airport Vicco?,"['Option 1: The ICAO shortcode for the airport is the same with SPVI.', 'Option 2: The airport is located at -25.85 latitude.', 'Option 3: The airport is located at -76.247 longitude.', 'Option 4: The airport has a country code of PE.']",2,-10.8478,2,"Option 2: The airport is located at -25.85 latitude. Explanation: The Vicco airport, with the ICAO shortcode SPVI, is located in Peru (country code PE). The latitude and longitude coordinates for Vicco are approximately -13.74 and -76.247 respectively. Therefore, the statement that the airport is located at -25.85 latitude is incorrect."
9,3,0,What's the inaccurate option about the airport Lilongwe International?,"['Option 1: ICAO Shortcode of the airport is FWKI.', 'Option 2: Latitude of the airport is 51.1442.', 'Option 3: Longitude of the airport is 33.781.', 'Option 4: Country code of the airport is MW.']",2,-13.7894,2,"Option 2: Latitude of the airport is 51.1442. Explanation: The latitude of Lilongwe International Airport, also known as Kamuzu International Airport, is approximately -13.7894, not 51.1442. This airport is located in Malawi, which is in the Southern Hemisphere, so its latitude should be a negative number."
10,3,1,What is the false option about the airport Lilongwe International?,"['Option 1: The abbreviated form (ICAO) for the airport is FWKI.', 'Option 2: The latitude of the airport is 51.1442.', 'Option 3: The longitude of the airport is 33.781.', 'Option 4: The country code of the airport is MW.']",2,-13.7894,2,"Option 2: The latitude of the airport is 51.1442. Explanation: The latitude of Lilongwe International Airport is approximately -13.7894, not 51.1442. This makes option 2 false. The airport is located in the southern hemisphere, specifically in Malawi, so its latitude should be a negative number."
11,3,2,What is the wrong option regarding the airport Lilongwe International?,"['Option 1: The ICAO shortcode for the airport is the same with FWKI.', 'Option 2: The airport is located at 51.1442 latitude.', 'Option 3: The airport is located at 33.781 longitude.', 'Option 4: The airport has a country code of MW.']",2,-13.7894,2,"Option 2: The airport is located at 51.1442 latitude. Explanation: The Lilongwe International Airport, also known as Kamuzu International Airport, is located in Malawi, Africa. Its geographical coordinates are approximately -13.789378 latitude and 33.781 longitude. Therefore, the statement that the airport is located at 51.1442 latitude is incorrect."
12,4,0,What's the inaccurate option about the airport Trieben?,"['Option 1: ICAO Shortcode of the airport is LOGI.', 'Option 2: Latitude of the airport is 46.0489.', 'Option 3: Longitude of the airport is 14.4975.', 'Option 4: Country code of the airport is AT.']",2,47.4942,3,"Option 3: Longitude of the airport is 14.4975. Explanation: The longitude of Trieben airport is not 14.4975. The correct longitude is approximately 14.4189. Therefore, option 3 is inaccurate."
13,4,1,What is the false option about the airport Trieben?,"['Option 1: The abbreviated form (ICAO) for the airport is LOGI.', 'Option 2: The latitude of the airport is 46.0489.', 'Option 3: The longitude of the airport is 14.4975.', 'Option 4: The country code of the airport is AT.']",2,47.4942,3,"Option 3: The longitude of the airport is 14.4975. Explanation: The longitude of Trieben airport is not 14.4975. The correct longitude is approximately 14.5292. Therefore, option 3 is false."
14,4,2,What is the wrong option regarding the airport Trieben?,"['Option 1: The ICAO shortcode for the airport is the same with LOGI.', 'Option 2: The airport is located at 46.0489 latitude.', 'Option 3: The airport is located at 14.4975 longitude.', 'Option 4: The airport has a country code of AT.']",2,47.4942,1,"Option 1: The ICAO shortcode for the airport is the same with LOGI. Explanation: The ICAO shortcode for Trieben Airport is LOGT, not LOGI. The ICAO code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators. The 'LOGI' code is incorrect for Trieben Airport."
15,5,0,What's the inaccurate option about the airport Intiraymi?,"['Option 1: ICAO Shortcode of the airport is 0ND6.', 'Option 2: Latitude of the airport is -17.8083.', 'Option 3: Longitude of the airport is -67.4433.', 'Option 4: Country code of the airport is BO.']",1,SLIY,1,"Option 1: ICAO Shortcode of the airport is 0ND6. Explanation: The ICAO shortcode for Intiraymi airport is not 0ND6. The ICAO code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators. The correct ICAO code for Intiraymi airport is SLRY."
16,5,1,What is the false option about the airport Intiraymi?,"['Option 1: The abbreviated form (ICAO) for the airport is 0ND6.', 'Option 2: The latitude of the airport is -17.8083.', 'Option 3: The longitude of the airport is -67.4433.', 'Option 4: The country code of the airport is BO.']",1,SLIY,1,"Option 1: The abbreviated form (ICAO) for the airport is 0ND6. Explanation: The ICAO code for Intiraymi airport is SLRY, not 0ND6. The ICAO (International Civil Aviation Organization) code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators. The '0ND6' code does not match with Intiraymi airport."
